"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"1",2018-12-02 00:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2018-12-01 00:00:00,94,18,1,3,0,4,0,0,1,0,13,0,2,4,0,0,0,2
"3",2018-11-30 00:00:00,91,10,6,1,0,8,0,0,2,0,6,0,2,3,0,1,0,2
"4",2018-11-29 00:00:00,112,12,2,4,0,11,0,1,2,0,2,0,2,1,0,0,0,4
"5",2018-11-28 00:00:00,119,19,2,2,0,8,1,1,1,0,1,0,2,1,0,0,0,12
"6",2018-11-27 00:00:00,112,13,3,1,0,16,0,0,0,0,1,0,4,2,0,0,0,2
"7",2018-11-26 00:00:00,68,11,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2
"8",2018-11-25 00:00:00,66,3,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1
"9",2018-11-24 00:00:00,100,13,1,3,0,7,0,0,0,0,0,0,3,4,0,0,0,0
"10",2018-11-23 00:00:00,105,13,2,1,0,7,0,0,0,0,1,0,1,0,0,1,0,0
"11",2018-11-22 00:00:00,120,23,5,0,0,10,0,2,0,0,0,0,2,1,0,0,0,5
"12",2018-11-21 00:00:00,133,16,2,2,0,10,0,2,2,0,0,0,3,1,0,0,0,8
"13",2018-11-20 00:00:00,110,26,6,2,0,15,0,1,2,0,0,0,1,4,0,1,0,2
"14",2018-11-19 00:00:00,51,6,2,1,0,14,0,2,1,0,0,0,3,0,0,0,0,1
"15",2018-11-18 00:00:00,66,6,4,2,0,2,0,1,1,0,0,0,1,0,0,0,0,1
"16",2018-11-17 00:00:00,99,13,2,2,0,8,1,1,0,0,1,0,1,2,0,0,0,5
"17",2018-11-16 00:00:00,128,19,4,1,0,10,0,4,0,0,1,0,3,0,0,0,0,3
"18",2018-11-15 00:00:00,112,11,6,3,0,10,1,4,2,0,6,0,6,4,0,0,0,3
