"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"1",2018-12-12 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2018-12-12 02:00:00,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",2018-12-12 01:00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4",2018-12-12 00:00:00,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2018-12-11 23:00:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2018-12-11 22:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2018-12-11 21:00:00,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2018-12-11 20:00:00,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9",2018-12-11 19:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2018-12-11 18:00:00,9,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",2018-12-11 17:00:00,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"12",2018-12-11 16:00:00,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2018-12-11 15:00:00,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2018-12-11 14:00:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2018-12-11 13:00:00,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"16",2018-12-11 12:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2018-12-11 11:00:00,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2018-12-11 10:00:00,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"19",2018-12-11 09:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2018-12-11 08:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
