;Symbol;Name
;42;42Coin
;300;300token
;365;365Coin
;404;404Coin
;611;SixEleven
;808;808
;888;Octocoin
;1337;1337
;2015;2015coin
;ARC*;ArcadeCity
;CLUB;ClubCoin
;007;007coin
;ZCN;0chain
;ZRX;0x
;0xBTC;0xBitcoin
;BIT16;16BitCoin
;MCT;1717MasonicCommemorativeToken
;1CR;1Credit
;1WO;1World
;CHAO;23Skidoo
;2BACCO;2BACCOCoin
;2GIVE;2GiveCoin
;32BIT;32Bitcoin
;3DES;3DES
;8BT;8CircuitStudios
;8BIT;8BITCoin
;ATKN;A-Token
;RTB;AB-CHAIN
;ABC;AB-Chain
;AC3;AC3
;ACT;ACT
;ACOIN;ACoin
;AEON;AEON
;AIC;AICrypto
;AIDOC;AIDoctor
;AIT;AIChainToken
;XAI*;AICoin
;AITT;AITrading
;AXT;AIX
;ALX;ALAX
;ALIS;ALISmedia
;ALT;ALTcoin
;AMBT;AMBTToken
;AMIS;AMIS
;AMLT;AMLT
;ANTS;ANTSReloaded
;APIS;APIS
;ARB*;ARBITRAGE
;ARE;ARENON
;ARK;ARK
;ARNA;ARNAPanacea
;ARR;ARROUND
;ATB;ATBcoin
;ATCC;ATCCoin
;ATFS;ATFSProject
;ATL;ATLANT
;ATM;ATMChain
;AUC*;AU-Coin
;AXR;AXRON
;AXS;AXS
;ABELE;Abele
;ABJ;Abjcoin
;ABS;AbsoluteCoin
;ACC*;AcceleratorNetwork
;ACCO;Accolade
;AEC;AcesCoin
;ACES;AcesCoin
;ACT*;Achain
;ACH;AchieveCoin
;ACID;AcidCoin
;OAK;AcornCollective
;ACTN;ActionCoin
;AMT;Acumen
;ACC;AdCoin
;ADX;AdEx
;ADT;AdToken
;ADM;Adamant
;ADB;Adbank
;ADL;Adelphoi
;ADH;Adhive
;ADST;Adshares
;ABT*;AdvancedBrowsingToken
;AIB;AdvancedInternetBlock
;ADZ;Adzcoin
;AGS;Aegis
;AEN;Aenco
;AERM;Aerium
;AERO;AeroCoin
;AM;AeroMe
;ARN;Aeron
;AE;Aeternity
;AET;AfterEther
;AGRS;AgorasToken
;DLT;AgrelloDelta
;AHT;Ahoolee
;AID;AidCoin
;ADN;Aiden
;ADK;AidosKuneen
;AIX;Aigang
;AION;Aion
;AST;AirSwap
;AIR;AirToken
;AIR*;Aircoin
;AKA;Akroma
;ALEX;Alexandrite
;PLM;Algo.Land
;ALG;Algory
;ALN;AlienCoin
;SOC;AllSportsCoin
;ASAFE2;Allsafe
;APC;AlpaCoin
;ALPS;Alpenschillling
;ALF;AlphaCoin
;ACAT;Alphacat
;ALQO;Alqo
;ALTCOM;AltCommunityCoin
;ALTOCAR;AltoCar
;AMBER;AmberCoin
;AMB;Ambrosus
;AMC;AmericanCoin
;AMX;Amero
;AMMO;AmmoRewards
;AMO;AmoCoin
;AMN;Amon
;AMS;AmsterdamCoin
;AMY;Amygws
;ANCP;Anacrypt
;ANAL;AnalCoin
;ACP;AnarchistsPrime
;AND;AndromedaCoin
;ANGL;AngelToken
;AVH;AnimationVisionCash
;ANI;Animecoin
;ANK;AnkorusToken
;ANC;Anoncoin
;RYZ;Anryze
;ANTI;AntiBitcoin
;ANTC;AntiLitecoin
;CPX;ApexToken
;APEX;ApexCoin
;APH;Aphelion
;APL;ApolloCurrency
;XAP;Apollon
;APPC;AppCoins
;APT;Aptcoin
;APX;Apx
;ARCO;AquariusCoin
;AR*;Ar.cash
;ALC;ArabLeagueCoin
;ANT;Aragon
;ARBI;Arbi
;ARB;ArbitCoin
;ARCT;ArbitrageCT
;ABT;ArcBlock
;ARCH;ArchCoin
;ARC;ArcticCoin
;ARDR;Ardor
;ARENA;Arena
;ARG;Argentum
;ARGUS;ArgusCoin
;ARI;AriCoin
;ARO;Arionum
;BOTS;ArkDAO
;ARM;ArmoryCoin
;ARPA;ArpaCoin
;ABY;ArtByte
;ARTE;Artemine
;ATX;ArtexCoin
;AUA;ArubaCoin
;ASN;AscensionCoin
;XAS;Asch
;AC;AsiaCoin
;ADCN;Asiadigicoin
;ATX*;Aston
;AST*;Astral
;ASTRO;Astronaut
;ATMOS;Atmos
;ATOM;AtomicCoin
;ATMI;Atonomi
;AUC;Auctus
;ADC;AudioCoin
;REP;Augur
;AURS;Aureus
;AURA;Aurora
;AOA;Aurora
;AUR;AuroraCoin
;AUN;Authoreon
;ATS;Authorship
;NIO*;Autonio
;AUT;Autoria
;ATM*;Autumncoin
;AVL;Avalanche
;AVA;Avalon
;AV;AvatarCoin
;AVT;AventCoin
;AOP;Averopay
;AVE;Avesta
;ACN;AvonCoin
;WORK;Aworker
;AXIOM;AxiomCoin
;AXYS;Axys
;AZART;Azart
;B2B;B2BX
;B3;B3Coin
;KB3;B3Coin
;BAX;BABB
;BAM;BAM
;BANCA;BANCA
;BKX;BANKEX
;BBN;BBNCOIN
;BERN;BERNcash
;BEX;BEXtoken
;BFT;BFToken
;VEE;BLOCKv
;BMT;BMChain
;BOS;BOScoin
;BQC;BQCoin
;BRAT;BROTHER
;BTCL;BTCLite
;BTCM;BTCMoon
;BAN;BabesandNerds
;BKC;Balkancoin
;NANAS;BananaBits
;BNT;BancorNetworkToken
;B@;BankCoin
;BNK;Bankera
;BCOIN;BannerCoin
;BBN*;BanyanNetwork
;BBCC;BaseballCardCoin
;BASHC;BashCoin
;BAT;BasicAttentionToken
;BTA;Bata
;BCX;BattleCoin
;BSTK;BattleStake
;SAND;BeachCoin
;BRDD;BeardDollars
;XBTS;Beats
;BVC;BeaverCoin
;BEE;BeeToken
;BFDT;Befund
;BELA;Bela
;BBI;BelugaPay
;BMK;Benchmark
;BNC;Benjacoin
;BEN*;Benjamins
;BENJI;BenjiRolls
;BEST;BestChain
;KNG;BetKings
;CHART;BetOnChart
;BET;BetaCoin
;BTRM;BetriumToken
;BETR;BetterBetting
;BETT;Bettium
;BZNT;Bezant
;BEZ;Bezop
;BBP;BiblePay
;BIX;BiboxCoin
;BID;BidCoin
;BDP;Bidipass
;BDB;BigDataBlock
;HUGE;BigCoin
;LFC;BigLifeCoin
;BIGUP;BigUp
;BBO;Bigbom
;BHC;BighanCoin
;BIC;Bikercoins
;BLRY;BillaryCoin
;XBL;BillionaireToken
;BNB;BinanceCoin
;BRC*;BinaryCoin
;BIOB;BioBar
;BIO;Biocoin
;BIOS;BiosCrypto
;BTRN;Biotron
;BIP;BipCoin
;BIS;Bismuth
;BAS;BitAsean
;BTB;BitBar
;BAY;BitBay
;BITB;BitBean
;BBK;BitBlocks
;BBT;BitBoost
;BOSS;BitBoss
;BRONZ;BitBronze
;BCD*;BitCAD
;BEN;BitCOEN
;BITCAR;BitCar
;CAT;BitClave
;COAL;BitCoal
;BCCOIN;BitConnectCoin
;BCR;BitCredit
;BTCRY;BitCrystal
;BCY;BitCrystals
;BTCR;BitCurrency
;BDG;BitDegree
;CSNO;BitDice
;BFX;BitFinexTokens
;FLIP;BitFlip
;FLX*;BitFlux
;BTG*;BitGem
;HIRE*;BitHIRE
;STU;BitJob
;BTLC;BitLuckCoin
;LUX*;BitLux
;BTM;BitMark
;BMX;BitMartCoin
;BTMI;BitMiles
;BM;BitMoon
;BITOK;BitOKX
;BTQ;BitQuark
;RNTB;BitRent
;BIT;BitRewards
;BITX;BitScreener
;XSEED;BitSeeds
;BSD*;BitSend
;BTE*;BitSerial
;BSR;BitSoarCoin
;BSTN;BitStation
;BST;BitStone
;SWIFT;BitSwift
;BXT;BitTokens
;TUBE;BitTube
;VEG;BitVegan
;VOLT;BitVolt
;ZNY;BitZeny
;BTCA;Bitair
;BAC;BitalphaCoin
;BTD;Bitcloud
;BTDX;Bitcloud2.0
;BTCN;BitcoiNote
;BTC;Bitcoin
;BCA;BitcoinAtom
;CDY;BitcoinCandy
;BCH;BitcoinCash
;BTCC;BitcoinCore
;BCD;BitcoinDiamond
;BTG;BitcoinGold
;BITG;BitcoinGreen
;BTCH;BitcoinHush
;XBI;BitcoinIncognito
;BCI;BitcoinInterest
;BTN;BitcoinNova
;BTPL;BitcoinPlanet
;BTCP;BitcoinPrivate
;BTCRED;BitcoinRed
;RBTC;BitcoinRevolution
;BCR*;BitcoinRoyal
;BTCS;BitcoinScrypt
;BT2;BitcoinSegWit2X
;BTCS*;BitcoinSupreme
;BTCD;BitcoinDark
;BTCE*;BitcoinEX
;BCF;BitcoinFast
;BIFI;BitcoinFile
;BTF*;BitcoinFor
;BTCGO;BitcoinGo
;XBC;BitcoinPlus
;BTX*;BitcoinTX
;BWS;BitcoinWSpectrum
;BTW;BitcoinWhite
;BCX*;BitcoinX
;BTCZ;BitcoinZ
;BM*;Bitcomo
;BTX;Bitcore
;DARX;Bitdaric
;BDL;Bitdeal
;BT1;BitfinexBitcoinFuture
;BTCL*;BitluckCoin
;BIM;BitminerCoin
;BMXT;Bitmxittz
;XPAT;BitnationPangea
;BQ;Bitqy
;BRO;Bitradio
;BTL;Bitrolium
;BITSD;BitsDigit
;BINS;Bitsense
;BTS;Bitshares
;BSX;Bitspace
;XBS;Bitstake
;BITS;BitstarCoin
;BWT;Bittwatt
;BITZ;BitzCoin
;BTZ;BitzCoin
;XBP;BlackPearlCoin
;BLK;BlackCoin
;BS;BlackShadowCoin
;BHC*;BlackholeCoin
;BMC;BlackmoonCrypto
;BSTAR;Blackstar
;BLC;BlakeCoin
;BLAS;BlakeStar
;BLAZR;BlazerCoin
;BLITZ;BlitzCoin
;XBP*;BlitzPredict
;ARY;BlockArray
;CAT*;BlockCAT
;BCDN;BlockCDN
;LNC;BlockLancer
;BCPT;BlockMasonCreditProtocol
;BMH;BlockMesh
;BLOCK;BlockNet
;BLOCKPAY;BlockPay
;BPL;BlockPool
;BCAP;BlockchainCapital
;BLX;BlockchainIndex
;BCT;BlockchainTerminal
;BTF;BlockchainTradedFund
;BCIO;Blockchain.io
;BPT;Blockport
;CCC*;Blockshipping
;TIX;Blocktix
;BTT;Blocktradetoken
;BNTN;Blocnation
;BLT;BloomToken
;CDT;Blox
;BLU;BlueCoin
;BDR;BlueDragon
;BLZ;Bluzelle
;BNX;BnrtxCoin
;BNB*;BoatsandBitches
;BOB*;BobCoin
